date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_id,away_id,team_id,player_slug,match_id,player_id
2024-11-14,Greece,England,England,Odisseas Vlachodimos,78.0,true,false,greece,england,england,odisseas-vlachodimos,20241114-greece-england,england/odisseas-vlachodimos
2024-11-14,Greece,England,England,Curtis Jones,83.0,false,false,greece,england,england,curtis-jones,20241114-greece-england,england/curtis-jones
2024-11-14,Paraguay,Argentina,Argentina,Lautaro Martínez,11.0,false,false,paraguay,argentina,argentina,lautaro-martinez,20241114-paraguay-argentina,argentina/lautaro-martinez
2024-11-14,Venezuela,Brazil,Brazil,Raphinha,43.0,false,false,venezuela,brazil,brazil,raphinha,20241114-venezuela-brazil,brazil/raphinha
2024-11-15,Denmark,Spain,Spain,Mikel Oyarzabal,15.0,false,false,denmark,spain,spain,mikel-oyarzabal,20241115-denmark-spain,spain/mikel-oyarzabal
2024-11-15,Denmark,Spain,Spain,Ayoze Pérez,58.0,false,false,denmark,spain,spain,ayoze-perez,20241115-denmark-spain,spain/ayoze-perez
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Jamal Musiala,2.0,false,false,germany,bosnia-and-herzegovina,germany,jamal-musiala,20241116-germany-bosnia-and-herzegovina,germany/jamal-musiala
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Tim Kleindienst,23.0,false,false,germany,bosnia-and-herzegovina,germany,tim-kleindienst,20241116-germany-bosnia-and-herzegovina,germany/tim-kleindienst
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Kai Havertz,37.0,false,false,germany,bosnia-and-herzegovina,germany,kai-havertz,20241116-germany-bosnia-and-herzegovina,germany/kai-havertz
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Florian Wirtz,50.0,false,false,germany,bosnia-and-herzegovina,germany,florian-wirtz,20241116-germany-bosnia-and-herzegovina,germany/florian-wirtz
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Florian Wirtz,57.0,false,false,germany,bosnia-and-herzegovina,germany,florian-wirtz,20241116-germany-bosnia-and-herzegovina,germany/florian-wirtz
